,Movie,Year,Genre,Rating,Url,Synopsis,Downloads
0,Gunda,2020,Documentary,7.4 / 10,https://yts.rs/movie/gunda-2020, Documentary looks at the daily life of a pig and its farm animal companions: two cows and a one-legged chicken. ,202
1,Bright: Samurai Soul,2021,ActionAdventure,5.6 / 10,https://yts.rs/movie/bright-samurai-soul-2021," Set in Japan during the end of the Shogunate and the beginning of the Meiji period, the film will follow a one-eyed, wandering samurai named Izo (Simu Liu) and an orc named Raiden (Fred Mancuso), as they work to bring a young elf girl (Yuzu Harada) and the wand she carries to the land of the elves in the north. ",2323
2,It Boy,2013,ComedyRomance,6.4 / 10,https://yts.rs/movie/it-boy-2013," The thirty-eight year-old ambitious and workaholic editor of the fashion magazine Rebelle Alice Lantins returns from Brazil to Paris and loses her flash memory in the airplane. However, the student of architecture Balthazar Apfel finds it and calls Alice to tell her. She schedules a meeting in the bar where Balthazar is drinking with his friends but he tells her that the device is at home. He offers a ride in his scooter to Alice and while he is putting the spare helmet on her, two coworkers of Alice see from an angle that make them believe that Balthazar is kissing Alice. They take a photo and posts it in the Twitter. On the next morning, everybody is laughing at Alice but the chief editor and her boss Vincent Khan loves the idea that Alice is dating someone twenty years younger. Alice decides to impersonate that she is in love with Balthazar to get a promotion in the magazine. But soon she learns that she should not trifle with love. —Claudio Carvalho, Rio de Janeiro, Brazil ",3434
3,The Bingo Long Traveling All-Stars & Motor Kings,1976,ComedySport,6.8 / 10,https://yts.rs/movie/the-bingo-long-traveling-all-stars-motor-kings-1976," Tired of being treated like a slave by team owner Sallison Potter (Ted Ross), charismatic star pitcher Bingo Long (Billy Dee Williams) steals a bunch of Negro League players away from their teams, including catcher/slugger Leon Carter (James Earl Jones) and Charlie Snow (Richard Pryor), a player forever scheming to break into the segregated Major League Baseball of the 1930s by masquerading as first a Cuban (""Carlos Nevada""), then a Native American (""Chief Takahoma""). They take to the road, barnstorming through small Midwestern towns, playing the local teams to make ends meet. One of the opposing players, 'Esquire' Joe Calloway (Stan Shaw), is so good that they recruit him. Bingo's team becomes so outlandishly entertaining and successful, it begins to cut into the attendance of the established Negro League teams. Finally, Bingo's nemesis Potter is forced to propose a winner-take-all game: if Bingo's team can beat a bunch of all-stars, it can join the league, but if it loses, the players will return to their old teams. Potter has two of his goons kidnap Leon prior to the game as insurance, but he escapes and is key to his side's victory. As it turns out, there is a major league scout in the audience. After the game, he offers Esquire Joe the chance to break the color barrier; with Bingo's blessing, he accepts. Leon glumly foresees the decline of the Negro League as more players follow Esquire Joe's lead, but Bingo, ever the optimist, cheers him up by describing the wild promotional stunts he intends to stage to bring in the paying customers. —SL ",202
4,The Merry Heirs,1933,ComedyRomance,6.1 / 10,https://yts.rs/movie/the-merry-heirs-1933, A young salesman may inherit a wine-estate on one condition: he can't drink a drop of alcohol for at least a month. ,101
5,Don't Play Us Cheap,1972,ComedyMusical,5.2 / 10,https://yts.rs/movie/dont-play-us-cheap-1972," Film version of Melvin Van Peebles' Broadway musical. A pair of devil-bats take human form and crash a Harlem house party in an attempt to break it up. But somehow, their attempts to ruin the party fail. ",505
6,Angel on My Shoulder,1946,AdventureComedy,6.8 / 10,https://yts.rs/movie/angel-on-my-shoulder-1946," Gangster Eddie Kagel is killed by a trusted lieutenant and finds himself in Harry Redmond Jr's special-effects Hell, where Nick/The Devil sees that he is an-exact double for a judge who Nick doesn't approve of. Eddie is agreeable to having his soul transferred to the judge's body, as it will give him a chance to avenge himself on his killer. But every action taken by Eddie (as the judge) results in good rather than evil and, to Nick's dismay, the reputation and influence of the judge is enhanced, rather than impaired by Eddie. And Eddie also falls in love with the judge's fiancée, Barbara. Even Eddie's planned revenge fails and Nick is forced to concede defeat. He returns to Hell, taking Eddie with him, after Eddie has extracted his promise that Nick will not molest the judge or Barbara in the future. —Les Adams ",1919
7,Hell Hunters,1987,ActionHorror,4.1 / 10,https://yts.rs/movie/hell-hunters-1987," A Nazi scientist, wanted as a war criminal, develops a spider serum that turns people into fascist Nazi zombies. A pair of investigators who have devoted their lives to hunting down Nazi war criminals set out to stop him. —[email protected] ",1616
8,The Poltergeist Diaries,2021,DramaHorror,5.6 / 10,https://yts.rs/movie/the-poltergeist-diaries-2021," After moving to an isolated cabin, Jacob Taylor vanishes without a trace. With the help of footage he leaves behind, his family members, friends and a detective try to find answers to the strange events that are centered around him. ",2525
9,They Who Surround Us,2020,Drama,8.1 / 10,https://yts.rs/movie/they-who-surround-us-2020, A Ukrainian farmer living in Alberta loses his wife in a tragic accident. Guilt and grief send him into an emotional spiral where mysterious and inexplicable events force him to relive traumatic incidents from his childhood in Ukraine. ,2828
10,Megan,2020,Thriller,5.4 / 10,https://yts.rs/movie/megan-2020, A hiker finds shelter in a mountain lodge inhabited by two strange women. ,3737
11,Oh Crappy Day,2021,ComedyRomance,0 / 10,https://yts.rs/movie/oh-crappy-day-2021, A young filmmaker hopes to find love through online dating -- if he can just keep his OCD on the down low. ,2626
12,Convergence: Courage in a Crisis,2021,Documentary,4.2 / 10,https://yts.rs/movie/convergence-courage-in-a-crisis-2021," A collaboration that spans eight countries and 9 individual stories, Convergence reveals the power of compassion and community in the face of a crisis. Beginning at the onset of the pandemic, the documentary follows everyday citizens across the globe as they rise to the challenges of this upheaval in extraordinary ways - from a Syrian refugee fighting the UK government to include hospital cleaners and porters in bereavement pay to a doctor committed to serving Miami's homeless community. But as this generation defining crisis begins to unmask deep-rooted flaws and inequities worldwide, their diverse journeys tell a more unified narrative about our common humanity and how, by coming together, great change can emerge from chaos. ",2626
13,Envision,2021,DramaSci-Fi,2.6 / 10,https://yts.rs/movie/envision-2021, Thomas had the perfect life until he lost his wife and Son. After a ground-breaking surgery he is given an implant that allows him to create his own virtual reality on the fly. ,2626
